house_id,SquareFeet,Bedrooms,Bathrooms
house-104,1201,5,1
house-105,2981,3,2
house-106,1995,5,3
house-107,1269,3,2
house-108,2886,5,3
house-109,1815,3,3
house-110,2294,4,1
house-111,1455,3,3
house-112,2485,4,2
house-113,2750,4,2
house-114,2275,5,2
house-115,2016,4,2
house-116,2725,2,2
house-117,1295,3,3
house-118,2748,5,1
house-119,1719,4,1
house-120,2772,3,2
house-121,1337,3,3
house-122,1878,2,1
house-123,2076,3,2
house-124,1791,5,3
house-125,2945,5,1
house-126,1216,4,3
house-127,1763,4,2
house-128,1187,5,3
house-129,1379,3,1
house-130,1492,3,1
house-131,2064,2,3
house-132,2180,4,1
house-133,1014,3,3
house-134,2836,3,3
house-135,1064,4,2
house-136,2880,5,2
house-137,2862,3,3
house-138,1520,2,1
house-139,2367,3,2
house-140,2152,3,1
house-141,1647,2,3
house-142,2495,5,1
house-143,2086,2,1
house-144,2162,2,3
house-145,2522,4,2
house-146,1592,3,2
house-147,1391,5,1
house-148,2698,3,3
house-149,1418,5,3
house-150,1288,2,2
house-151,1378,4,3
house-152,2796,2,3
house-153,2513,3,1
house-154,1230,4,1
house-155,2017,4,2
house-156,1040,3,2
house-157,2051,5,1
house-158,1134,4,3
house-159,1200,5,3
house-160,2863,5,1
house-161,1779,5,1
house-162,1929,4,1
house-163,2056,2,1
house-164,2071,4,3
house-165,1502,2,3
house-166,1406,4,2
house-167,2597,2,1
house-168,2751,2,2
house-169,1804,4,3
house-170,1098,5,2
house-171,1683,5,3
house-172,2895,2,3
house-173,1725,3,2
house-174,2570,3,2
house-175,1960,4,1
house-176,2762,4,3
house-177,1612,4,1
house-178,2966,3,1
house-179,2485,5,3
house-180,1642,4,2
house-181,2792,4,1
house-182,2028,5,1
house-183,2241,2,3
house-184,1502,4,2
house-185,1766,3,2
house-186,1397,3,1
house-187,1870,4,3
house-188,1794,3,1
house-189,1392,5,2
house-190,1206,2,1
house-191,2038,2,3
house-192,2881,4,1
house-193,2577,4,2
house-194,1891,2,3
house-195,2484,2,3
house-196,2714,4,3
house-197,2598,3,3
house-198,1863,4,3
house-199,1742,5,1
house-200,2264,4,3
house-201,1563,4,2
house-202,2020,4,3
house-203,1095,4,2
house-204,2923,4,2
house-205,2757,4,2
house-206,1484,3,2
house-207,2430,4,2
house-208,1230,2,1
house-209,1748,4,2
house-210,2678,3,2
house-211,2194,5,2
house-212,1540,2,1
house-213,2059,4,3
house-214,1524,4,2
house-215,2183,2,1
house-216,2862,4,1
house-217,2722,3,1
house-218,2266,4,3
house-219,2109,5,1
house-220,2819,3,2
house-221,1577,4,2
house-222,1681,5,2
house-223,1556,2,3
house-224,2597,3,1
house-225,2976,4,2
house-226,2012,4,2
house-227,1645,2,2
house-228,1795,2,3
house-229,2051,3,2
house-230,2643,3,1
house-231,2579,3,1
house-232,2363,4,3
house-233,2821,4,3
house-234,2981,3,3
house-235,2354,4,1
house-236,2663,2,3
house-237,2529,5,3
house-238,2371,4,1
house-239,2496,3,2
house-240,2254,4,3
house-241,1189,2,2
house-242,2248,3,2
house-243,2408,5,2
house-244,2400,3,2
house-245,2306,3,3
house-246,2981,3,3
house-247,1632,4,3
house-248,1627,5,1
house-249,1972,2,1
house-250,2768,4,2
house-251,2282,5,1
house-252,2382,5,2
house-253,1709,4,2
house-254,2479,3,3
house-255,2434,5,3
house-256,1648,2,1
house-257,1317,4,3
house-258,2700,5,1
house-259,2248,2,3
house-260,2842,2,3
house-261,2257,2,1
house-262,1683,2,2
house-263,1663,4,1
house-264,2998,2,3
house-265,2850,4,2
house-266,2397,2,3
house-267,2695,2,3
house-268,2631,4,3
house-269,2495,3,2
house-270,2256,5,3
house-271,2715,5,1
house-272,2136,4,1
house-273,2853,2,1
house-274,2520,4,2
house-275,1441,2,1
house-276,1563,4,3
house-277,2291,5,2
house-278,2533,4,3
house-279,2830,5,3
house-280,2409,5,3
house-281,2410,5,1
house-282,2136,4,1
house-283,2636,3,2
house-284,2648,4,2
house-285,1951,4,1
house-286,2104,3,1
house-287,1698,3,3
house-288,1112,5,1
house-289,1001,2,3
house-290,1641,2,1
house-291,1219,5,3
house-292,2589,4,1
house-293,1854,2,1
house-294,2759,4,2
house-295,2248,3,2
house-296,1384,3,3
house-297,2426,5,2
house-298,2661,4,2
house-299,2153,5,1
house-300,2076,2,3
house-301,2707,2,2
house-302,1729,2,2
house-303,2695,4,1
house-304,2733,5,1
house-305,2439,5,1
house-306,1246,2,3
house-307,1835,5,1
house-308,2462,3,3
house-309,1202,3,1
house-310,2207,3,2
house-311,1122,3,3
house-312,1400,5,1
house-313,1766,3,1
house-314,1293,3,2
house-315,1279,3,2
house-316,2860,3,2
house-317,1883,3,1
house-318,2633,4,2
house-319,1197,4,2
house-320,1981,3,3
house-321,2930,3,3
house-322,2534,5,3
house-323,1751,3,1
house-324,1143,2,3
house-325,1608,4,1
house-326,2224,3,2
house-327,2147,4,1
house-328,1186,3,1
house-329,2349,2,2
house-330,1463,3,3
house-331,2372,4,3
house-332,2794,4,3
house-333,1659,4,2
house-334,1763,5,1
house-335,1954,4,2
house-336,2955,3,2
house-337,1402,2,2
house-338,2369,2,2
house-339,2986,3,1
house-340,2534,5,3
house-341,1146,3,3
house-342,2171,4,2
house-343,1863,5,1
house-344,2734,3,2
house-345,2843,5,1
house-346,1488,2,2
house-347,1928,3,3
house-348,2959,3,3
house-349,2663,2,2
house-350,1550,5,3
house-351,1337,2,2
house-352,1871,5,1
house-353,1640,3,1
house-354,2802,5,1
house-355,2976,5,1
house-356,1472,4,2
house-357,2969,4,3
house-358,1150,4,1
house-359,2438,2,3
house-360,2321,2,2
house-361,2634,4,3
house-362,1262,3,3
house-363,2787,3,3
house-364,1143,3,2
house-365,1345,2,2
house-366,1623,5,2
house-367,2016,2,3
house-368,2595,4,1
house-369,1880,5,1
house-370,1001,3,3
house-371,1896,2,1
house-372,2327,2,1
house-373,1253,4,3
house-374,2675,3,2
house-375,1452,2,1
house-376,2060,2,2
house-377,2183,5,1
house-378,2014,2,3
house-379,1008,5,3
house-380,2256,2,2
house-381,2122,3,2
house-382,2682,4,2
house-383,1815,3,2
house-384,1207,4,3
house-385,2154,2,3
house-386,1403,3,3
house-387,1151,5,2
house-388,1053,4,3
house-389,2143,4,3
house-390,2696,2,1
house-391,2943,4,1
house-392,1627,4,1
house-393,1586,4,2
house-394,2648,2,2
house-395,2991,3,3
house-396,2443,2,3
house-397,2445,5,2
house-398,1103,4,1
house-399,2875,4,3
house-400,1253,3,1
house-401,2250,4,3
house-402,2135,3,1
house-403,1509,4,3
house-404,2496,4,1
house-405,1098,2,1
house-406,1152,2,2
house-407,2884,5,3
house-408,1913,3,1
house-409,2919,5,2
house-410,1877,2,3
house-411,1337,3,2
house-412,2729,2,1
house-413,1821,3,3
house-414,2186,4,1
house-415,2743,5,1
house-416,1956,5,2
house-417,2704,3,1
house-418,1160,5,3
house-419,2603,2,2
house-420,1800,5,1
house-421,1397,3,1
house-422,2300,5,1
house-423,1815,5,2
house-424,2939,2,3
house-425,2527,4,2
house-426,2919,2,1
house-427,2415,5,2
house-428,2158,5,1
house-429,2218,4,2
house-430,1400,4,1
house-431,1639,2,2
house-432,2056,4,1
house-433,1687,2,1
house-434,1459,3,2
house-435,1954,5,2
house-436,2906,4,1
house-437,1469,3,3
house-438,2398,3,1
house-439,2045,2,1
house-440,1749,2,3
house-441,2693,4,1
house-442,1037,2,2
house-443,1229,3,2
house-444,2388,3,3
house-445,1562,5,1
house-446,1437,3,2
house-447,2799,4,1
house-448,2306,5,3
house-449,1026,2,2
house-450,1225,5,3
house-451,2300,3,1
house-452,1797,4,1
house-453,2632,2,1
house-454,1283,2,3
house-455,1878,3,2
house-456,1959,4,3
house-457,2504,3,2
house-458,1452,3,1
house-459,2019,4,1
house-460,2852,3,3
house-461,1815,4,2
house-462,1658,4,1
house-463,2539,3,1
house-464,1546,3,3
house-465,2215,5,3
house-466,2072,2,2
house-467,2535,2,1
house-468,1016,4,2
house-469,2195,5,2
house-470,2243,4,2
house-471,1157,5,3
house-472,1476,4,2
house-473,2069,2,2
house-474,2396,5,2
house-475,1517,3,3
house-476,1098,3,3
house-477,2915,2,1
house-478,2768,5,3
house-479,2060,3,3
house-480,1279,3,2
house-481,2372,3,1
house-482,1496,2,3
house-483,1301,4,1
house-484,1180,3,2
house-485,1606,3,3
house-486,2122,4,2
house-487,1699,3,2
house-488,1992,5,1
house-489,2139,3,3
house-490,1190,4,1
house-491,1252,2,2
house-492,1980,2,3
house-493,1927,5,2
house-494,2184,3,1
house-495,2279,3,1
house-496,2346,4,2
house-497,1127,4,1
house-498,1017,5,1
house-499,2816,5,2
house-500,2758,3,3
house-501,1565,3,3
house-502,1569,5,3
house-503,2346,2,2
house-504,2895,2,2
house-505,1685,2,1
house-506,2815,2,3
house-507,1625,5,1
house-508,2311,4,2
house-509,2966,2,3
house-510,1853,5,2
house-511,2686,2,1
house-512,1961,3,1
house-513,2662,2,2
house-514,1154,5,2
house-515,1489,3,3
house-516,2409,3,2
house-517,1784,2,1
house-518,2127,2,1
house-519,2952,3,2
house-520,2416,4,2
house-521,2834,5,3
house-522,1245,5,1
house-523,2199,5,1
house-524,2062,5,1
house-525,2500,5,2
house-526,2705,3,1
house-527,1758,5,2
house-528,1537,4,3
house-529,2890,4,2
house-530,2841,2,3
house-531,1920,2,3
house-532,1407,2,2
house-533,1524,2,3
house-534,1827,3,2
house-535,2529,4,1
house-536,1902,3,2
house-537,2848,4,3
house-538,1035,3,3
house-539,1684,4,1
house-540,1019,2,2
house-541,1320,4,1
house-542,2799,2,3
house-543,1511,4,2
house-544,1399,3,3
house-545,1653,5,2
house-546,1971,4,1
house-547,2906,3,1
house-548,1470,5,3
house-549,2166,3,1
house-550,2115,5,1
house-551,2377,2,3
house-552,1833,4,3
house-553,2823,3,3
house-554,1726,4,2
house-555,2982,2,3
house-556,1853,2,2
house-557,1050,4,3
house-558,2688,3,2
house-559,2721,3,3
house-560,1574,3,2
house-561,2213,4,1
house-562,2148,3,3
house-563,1149,3,3
house-564,1313,5,2
house-565,1569,3,1
house-566,2365,2,1
house-567,1304,3,2
house-568,2715,4,3
house-569,1681,4,1
house-570,1837,3,3
house-571,2806,4,2
house-572,2077,4,3
house-573,2002,3,1
house-574,1443,5,2
house-575,1612,5,1
house-576,1992,5,3
house-577,1263,5,3
house-578,2076,2,2
house-579,2595,3,1
house-580,2003,4,1
house-581,2643,4,1
house-582,1004,3,2
house-583,2126,4,3
house-584,2219,2,3
house-585,1773,5,3
house-586,1876,3,1
house-587,1991,4,2
house-588,1883,2,1
house-589,2373,4,2
house-590,1046,2,1
house-591,1866,4,2
house-592,1822,5,1
house-593,1935,3,1
house-594,2843,5,2
house-595,1655,5,3
house-596,1268,4,3
house-597,1369,5,2
house-598,1635,3,2
house-599,2129,2,3
house-600,2693,2,1
house-601,2682,4,3
house-602,1656,3,2
house-603,1119,3,1
house-604,1830,2,2
house-605,2810,2,3
house-606,2627,5,1
house-607,2081,4,3
house-608,2974,2,3
house-609,2369,2,3
house-610,1740,3,1
house-611,2497,3,3
house-612,1116,3,1
house-613,2853,2,3
house-614,1790,4,3
house-615,2150,5,2
house-616,2416,4,3
house-617,2931,2,1
house-618,2012,5,2
house-619,2664,4,1
house-620,2081,2,3
house-621,1633,4,2
house-622,1512,2,2
house-623,2774,3,2
house-624,1801,4,1
house-625,2119,3,2
house-626,2661,3,2
house-627,2141,5,1
house-628,1559,5,1
house-629,2624,4,1
house-630,1487,2,3
house-631,2260,5,1
house-632,2908,5,1
house-633,1896,3,2
house-634,2295,3,3
house-635,2212,2,2
house-636,1703,5,1
house-637,2470,5,1
house-638,1580,2,2
house-639,1789,5,3
house-640,1860,4,3
house-641,1246,4,2
house-642,2986,2,1
house-643,2099,3,3
house-644,1153,2,3
house-645,2679,4,2
house-646,2458,5,3
house-647,1996,5,1
house-648,2109,3,2
house-649,1696,3,3
house-650,2308,4,1
house-651,2997,3,1
house-652,2243,2,2
house-653,2092,4,2
house-654,2070,5,1
house-655,2008,5,1
house-656,1093,5,3
house-657,2773,3,3
house-658,1957,4,3
house-659,2011,3,3
house-660,1452,2,3
house-661,2227,4,2
house-662,1911,3,3
house-663,1217,5,3
house-664,1473,5,3
house-665,1431,2,1
house-666,1340,2,3
house-667,1550,2,2
house-668,2635,5,1
house-669,2312,3,1
house-670,2277,5,3
house-671,2757,5,1
house-672,1356,5,3
house-673,1022,3,3
house-674,2785,5,3
house-675,1521,2,2
house-676,2781,2,1
house-677,2860,2,1
house-678,2123,2,1
house-679,1801,5,1
house-680,2203,5,1
house-681,2246,5,3
house-682,2929,2,3
house-683,1761,3,3
house-684,2682,4,2
house-685,1441,4,2
house-686,2631,4,2
house-687,1768,3,2
house-688,2015,5,1
house-689,2348,4,2
house-690,1515,4,1
house-691,2039,5,1
house-692,1791,4,1
house-693,1335,5,3
house-694,2782,4,3
house-695,1257,5,1
house-696,1496,2,2
house-697,1895,3,1
house-698,1159,4,3
house-699,2498,5,2
house-700,1851,2,3
house-701,2687,5,2
house-702,2931,4,3
house-703,1689,4,1
house-704,2698,4,3
house-705,1379,4,2
house-706,2568,4,3
house-707,2952,2,2
house-708,1956,5,3
house-709,1690,5,3
house-710,2450,4,1
house-711,2636,5,2
house-712,2291,2,2
house-713,2858,4,1
house-714,2600,3,3
house-715,2440,2,2
house-716,2191,4,2
house-717,2865,5,2
house-718,2066,2,1
house-719,2579,4,1
house-720,1284,5,2
house-721,1396,5,3
house-722,1011,4,3
house-723,2630,2,1
house-724,2325,4,3
house-725,2921,4,1
house-726,2276,4,2
house-727,1498,4,2
house-728,1753,4,2
house-729,1034,5,1
house-730,1726,4,3
house-731,1848,2,2
house-732,1089,3,3
house-733,1775,4,3
house-734,1604,2,1
house-735,2945,3,1
house-736,1969,2,3
house-737,2625,5,3
house-738,2021,5,2
house-739,1417,3,2
house-740,1114,3,2
house-741,1616,3,3
house-742,2926,5,1
house-743,2219,5,3
house-744,1825,2,2
house-745,2524,5,2
house-746,2649,3,1
house-747,2516,4,3
house-748,2098,4,2
house-749,1412,3,1
house-750,2399,5,2
house-751,2443,3,1
house-752,1728,5,3
house-753,2300,4,1
house-754,2020,2,3
house-755,1760,5,3
house-756,1675,2,2
house-757,2417,4,3
house-758,2892,2,2
house-759,1456,2,2
house-760,1919,3,3
house-761,1191,2,1
house-762,1738,4,3
house-763,2712,5,3
house-764,2122,2,1
house-765,2571,5,2
house-766,1977,3,2
house-767,2008,4,3
house-768,1095,4,1
house-769,2687,5,1
house-770,1662,4,1
house-771,2213,3,1
house-772,2759,5,3
house-773,1036,4,3
house-774,2803,3,2
house-775,2392,3,1
house-776,2718,2,3
house-777,2548,4,3
house-778,1278,5,1
house-779,1216,2,1
house-780,1866,5,2
house-781,1872,2,1
house-782,2821,3,2
house-783,2296,2,2
house-784,2904,2,1
house-785,1061,2,1
house-786,1595,4,3
house-787,2903,2,1
house-788,1728,3,1
house-789,2365,5,2
house-790,1396,4,1
house-791,1698,3,3
house-792,2042,4,3
house-793,1176,5,1
house-794,2635,5,1
house-795,1395,5,2
house-796,1444,4,1
house-797,2256,4,2
house-798,2938,5,1
house-799,1075,5,2
house-800,1264,3,3
house-801,1454,5,1
house-802,2819,2,1
house-803,1717,4,2
house-804,1734,3,2
house-805,2407,4,1
house-806,2587,5,2
house-807,1850,2,1
house-808,2529,5,3
house-809,2390,4,2
house-810,1143,3,1
house-811,1884,4,3
house-812,2092,3,1
house-813,2122,2,1
house-814,1395,5,3
house-815,2048,5,2
house-816,1947,2,3
house-817,1890,4,1
house-818,2492,2,3
house-819,2507,5,1
house-820,2588,3,3
house-821,2174,5,2
house-822,2167,4,3
house-823,1568,3,3
house-824,2062,4,2
house-825,1108,5,1
house-826,2716,5,3
house-827,2065,3,1
house-828,2209,4,3
house-829,1934,3,2
house-830,1397,3,3
house-831,2246,4,1
house-832,1633,3,1
house-833,2156,2,2
house-834,2186,3,1
house-835,2238,5,2
house-836,1732,4,2
house-837,1234,5,1
house-838,2866,2,1
house-839,1657,2,2
house-840,1750,3,1
house-841,1587,5,2
house-842,2032,3,3
house-843,2097,3,1
house-844,1953,5,1
house-845,1491,2,2
house-846,1912,2,3
house-847,2276,2,3
house-848,2253,4,1
house-849,2542,4,2
house-850,2197,3,2
house-851,2676,4,1
house-852,2191,4,3
house-853,1169,5,2
house-854,2416,3,2
house-855,1945,3,1
house-856,1794,5,1
house-857,1633,2,3
house-858,2217,5,3
house-859,2540,2,2
house-860,1028,3,1
house-861,2188,3,1
house-862,2445,4,1
house-863,1338,4,3
house-864,2671,5,3
house-865,2519,4,2
house-866,2388,3,1
house-867,2856,3,3
house-868,2365,2,1
house-869,1499,4,3
house-870,2680,2,1
house-871,1510,3,2
house-872,2350,4,3
house-873,1216,2,3
house-874,2324,3,2
house-875,2155,2,2
house-876,2827,4,1
house-877,2093,2,3
house-878,2275,2,1
house-879,2438,3,1
house-880,2810,4,1
house-881,1444,5,3
house-882,1875,5,2
house-883,2205,2,1
house-884,1166,3,3
house-885,1090,4,1
house-886,1713,3,2
house-887,2881,4,2
house-888,2554,3,3
house-889,1038,5,3
house-890,2149,5,2
house-891,2474,5,3
house-892,1172,3,2
house-893,1652,3,1
house-894,1753,2,2
house-895,2243,5,1
house-896,2661,2,3
house-897,2081,3,1
house-898,2683,4,2
house-899,1475,5,3
house-900,1455,5,3
house-901,1828,5,2
house-902,1894,5,3
house-903,2384,5,2
house-904,2958,3,1
house-905,2024,5,1
house-906,1386,5,3
house-907,2996,2,2
house-908,1347,4,2
house-909,1189,5,1
house-910,1504,2,1
house-911,2214,3,3
house-912,2531,2,2
house-913,2392,5,3
house-914,2432,2,3
house-915,1823,2,3
house-916,1928,3,2
house-917,1933,2,1
house-918,2140,3,2
house-919,1133,3,2
house-920,1057,2,2
house-921,2579,5,3
house-922,1684,4,3
house-923,1671,2,2
house-924,1172,2,3
house-925,2852,2,3
house-926,1814,4,1
house-927,2172,4,2
house-928,1079,3,2
house-929,1885,4,3
house-930,2236,4,2
house-931,1202,2,2
house-932,1763,3,2
house-933,2252,5,2
house-934,2699,3,3
house-935,2250,4,1
house-936,2682,4,3
house-937,2555,2,1
house-938,2464,5,2
house-939,2425,5,2
house-940,1046,5,2
house-941,2256,4,2
house-942,2328,4,2
house-943,2549,3,2
house-944,2166,4,2
house-945,2438,5,1
house-946,2536,5,3
house-947,2396,5,2
house-948,2589,2,2
house-949,2909,3,2
house-950,2282,3,1
house-951,1655,4,2
house-952,1470,2,3
house-953,2976,3,1
house-954,1970,2,1
house-955,2035,2,2
house-956,2353,4,1
house-957,1735,2,2
house-958,1783,3,3
house-959,1967,4,3
house-960,1357,3,1
house-961,1971,2,1
house-962,2431,2,2
house-963,1667,5,1
house-964,1372,4,3
house-965,2031,4,1
house-966,2145,5,3
house-967,2371,3,2
house-968,1675,3,3
house-969,1089,2,1
house-970,2671,4,3
house-971,1697,2,3
house-972,2339,5,1
house-973,2201,2,2
house-974,1539,3,3
house-975,1731,3,1
house-976,1868,5,3
house-977,1040,3,3
house-978,1739,5,3
house-979,2727,4,2
house-980,2946,5,3
house-981,1501,5,1
house-982,1958,5,1
house-983,2168,3,3
house-984,2224,4,2
house-985,1928,2,1
house-986,2747,4,2
house-987,1460,3,2
house-988,1731,4,1
house-989,1751,4,1
house-990,1924,5,2
house-991,1908,5,3
house-992,2581,3,2
house-993,2570,5,1
house-994,2276,3,2
house-995,1389,2,1
house-996,2617,4,3
house-997,1882,2,3
house-998,1255,2,3
house-999,1708,4,3
house-1000,2838,5,3
house-1001,2944,2,1
house-1002,1449,4,2
house-1003,1009,2,3
house-1004,1823,2,1
house-1005,1797,4,2
house-1006,2265,5,2
house-1007,2274,3,3
house-1008,1876,4,3
house-1009,2028,3,2
house-1010,2142,4,2
house-1011,2015,4,1
house-1012,2824,3,3
house-1013,1373,3,2
house-1014,2088,5,2
house-1015,1145,4,3
house-1016,1223,4,1
house-1017,2262,4,1
house-1018,1176,5,3
house-1019,2802,3,1
house-1020,1852,4,1
house-1021,2305,3,1
house-1022,1062,5,2
house-1023,2240,2,2
house-1024,2877,3,1
house-1025,1826,5,3
house-1026,1794,2,3
house-1027,1688,4,3
house-1028,2484,4,1
house-1029,2952,3,3
house-1030,2633,2,2
house-1031,1104,5,3
house-1032,2122,4,3
house-1033,1510,4,2
house-1034,1384,2,2
house-1035,1404,5,1
house-1036,1822,4,1
house-1037,1517,4,1
house-1038,1475,3,1
house-1039,1708,5,1
house-1040,2886,4,2
house-1041,2668,2,2
house-1042,2893,4,2
house-1043,1770,5,3
house-1044,2460,3,3
house-1045,2046,4,3
house-1046,1996,2,1
house-1047,2588,4,3
house-1048,1676,2,1
house-1049,1713,5,1
house-1050,2481,3,1
house-1051,1082,5,1
house-1052,2168,4,3
house-1053,2108,4,2
house-1054,2101,3,1
house-1055,1456,2,3
house-1056,2901,5,1
house-1057,1000,2,1
house-1058,1050,4,2
house-1059,1684,2,1
house-1060,1716,5,2
house-1061,2795,2,3
house-1062,2469,4,1
house-1063,1448,5,2
house-1064,1880,2,1
house-1065,1487,2,1
house-1066,2823,5,1
house-1067,1033,4,2
house-1068,2371,5,3
house-1069,1094,4,2
house-1070,2095,2,3
house-1071,2574,5,2
house-1072,1153,4,2
house-1073,1249,5,3
house-1074,1673,2,3
house-1075,1437,5,3
house-1076,1117,2,2
house-1077,1770,2,3
house-1078,2914,2,1
house-1079,2329,4,1
house-1080,1267,4,1
house-1081,2984,3,1
house-1082,2077,4,3
house-1083,1235,3,3
house-1084,1388,5,1
house-1085,1989,2,3
house-1086,2757,4,1
house-1087,1762,2,2
house-1088,2848,3,3
house-1089,1400,4,2
house-1090,1623,4,3
house-1091,1766,4,3
house-1092,2326,4,3
house-1093,1918,2,2
house-1094,2230,4,2
house-1095,2252,3,1
house-1096,1852,4,2
house-1097,2933,3,2
house-1098,1577,3,1
house-1099,1074,2,2
house-1100,1434,4,2
house-1101,1102,3,1
house-1102,2445,4,2
house-1103,2727,2,1
house-1104,1763,2,3
house-1105,1737,4,3
house-1106,1805,3,2
house-1107,2329,5,3
house-1108,1097,5,2
house-1109,2873,2,1
house-1110,1797,3,1
house-1111,2358,5,1
house-1112,1858,3,3
house-1113,1434,4,1
house-1114,1446,2,1
house-1115,2331,4,2
house-1116,1248,4,2
house-1117,1165,4,2
house-1118,2504,3,2
house-1119,1983,5,1
house-1120,2358,4,2
house-1121,2019,2,3
house-1122,1541,3,3
house-1123,1758,5,3
house-1124,2129,4,2
house-1125,2586,2,1
house-1126,1080,4,2
house-1127,1132,5,3
house-1128,1796,5,2
house-1129,1899,4,3
house-1130,1137,4,1
house-1131,1183,3,1
house-1132,2424,5,1
house-1133,2353,5,1
house-1134,1784,4,1
house-1135,2531,2,2
house-1136,2875,4,1
house-1137,1983,4,2
house-1138,1068,5,3
house-1139,1545,3,3
house-1140,2797,4,1
house-1141,1052,2,2
house-1142,2473,2,1
house-1143,1204,4,3
house-1144,1125,2,2
house-1145,2770,2,3
house-1146,1042,4,2
house-1147,2775,2,3
house-1148,2994,2,1
house-1149,2906,4,1
house-1150,1110,5,1
house-1151,1760,3,3
house-1152,2686,3,3
house-1153,2206,5,3
house-1154,1847,4,1
house-1155,1094,5,3
house-1156,2994,3,3
house-1157,2397,3,1
house-1158,2935,3,3
house-1159,2543,3,2
house-1160,1899,4,3
house-1161,1359,3,1
house-1162,1899,3,2
house-1163,2719,4,1
house-1164,1280,5,1
house-1165,2218,4,1
house-1166,2887,3,2
house-1167,2218,2,2
house-1168,1666,4,1
house-1169,1092,4,3
house-1170,1671,5,2
house-1171,2969,3,1
house-1172,1060,2,3
house-1173,1633,4,1
house-1174,2074,4,2
house-1175,2426,4,2
house-1176,2812,2,3
house-1177,2028,4,2
house-1178,2489,4,1
house-1179,1603,2,1
house-1180,1681,4,3
house-1181,2852,2,3
house-1182,1533,5,3
house-1183,2428,2,3
house-1184,1837,5,1
house-1185,2536,2,1
house-1186,1644,3,1
house-1187,1232,4,1
house-1188,1523,5,3
house-1189,1345,4,2
house-1190,2069,4,1
house-1191,1545,2,2
house-1192,2968,3,3
house-1193,2101,2,3
house-1194,2753,4,2
house-1195,2836,2,3
house-1196,2946,5,2
house-1197,2096,3,1
house-1198,1793,4,3
house-1199,1248,2,3
house-1200,1046,5,2
house-1201,2144,3,2
house-1202,1213,2,2
house-1203,1238,2,2
house-1204,2079,4,2
house-1205,1349,5,3
house-1206,1106,3,2
house-1207,1830,2,1
house-1208,1047,3,2
house-1209,2596,5,3
house-1210,1336,4,1
house-1211,2049,4,3
house-1212,1803,4,2
house-1213,2280,3,3
house-1214,1007,3,3
house-1215,1624,2,2
house-1216,2890,5,3
house-1217,2276,5,3
house-1218,2715,5,3
house-1219,1718,3,1
house-1220,1302,4,3
house-1221,1638,5,2
house-1222,1055,2,2
house-1223,1725,3,3
house-1224,1525,4,2
house-1225,1473,5,1
house-1226,1027,4,2
house-1227,1077,2,2
house-1228,2239,5,3
house-1229,2409,5,1
house-1230,1364,4,1
house-1231,1665,3,2
house-1232,1525,4,2
house-1233,1698,2,3
house-1234,2335,4,3
house-1235,1882,4,1
house-1236,2030,5,3
house-1237,2026,3,1
house-1238,2646,3,1
house-1239,1918,3,2
house-1240,1749,3,1
house-1241,1362,4,1
house-1242,2774,5,1
house-1243,2531,5,1
house-1244,2297,3,2
house-1245,2529,4,3
