house_id,Neighborhood,YearBuilt,Price
house-4773,Suburb,1954,228185.794392124
house-44033,Urban,1961,122884.49062621658
house-11460,Urban,1997,196669.3253711699
house-11851,Rural,1984,235250.59144566744
house-273,Suburb,1974,256367.864328076
house-19077,Rural,1971,226812.8721754618
house-8704,Urban,1961,300902.08936409
house-46341,Suburb,1971,211881.3574274649
house-29424,Urban,1974,302086.0925158272
house-44124,Rural,2020,276616.1493604873
house-34642,Rural,1995,107835.49888964508
house-33004,Urban,1965,373349.39915885846
house-30591,Rural,1999,310393.0004628796
house-26727,Rural,1973,295983.88556734554
house-6540,Rural,1995,287286.06432158366
house-2462,Suburb,1981,290968.17362332536
house-937,Urban,1972,354766.5624941777
house-44237,Rural,1998,107955.20522674288
house-17221,Rural,1954,299274.02732096764
house-12367,Rural,2002,277214.7658258671
house-27916,Rural,2007,312032.1221723354
house-36944,Suburb,2018,169843.11613219275
house-348,Urban,1990,384570.7364514372
house-25232,Urban,2010,301375.37156416243
house-11723,Urban,2018,215413.5461952689
house-38490,Rural,1978,258079.78548289623
house-38533,Suburb,1972,219534.4637051122
house-30124,Suburb,1980,195466.8873912784
house-41997,Rural,2004,277125.19487885846
house-338,Suburb,1962,246212.1973150715
house-5168,Rural,1967,194916.29039770452
house-21851,Urban,1950,250632.38881501436
house-21952,Rural,1993,215669.9209398022
house-27379,Suburb,2017,76631.54730378134
house-37665,Suburb,2007,297694.1059100255
house-47614,Suburb,1974,252356.93339493408
house-9678,Rural,1971,157815.53923039022
house-44651,Suburb,1977,164637.2512489137
house-336,Rural,2016,296998.838109315
house-12314,Rural,1989,257996.38409629
house-6564,Rural,2008,112315.26582181484
house-43802,Suburb,1967,198099.7644115559
house-6549,Rural,1957,281089.53762531973
house-24265,Suburb,2006,159625.25116152057
house-18832,Suburb,1996,166269.6814154373
house-13765,Suburb,1996,170782.74056048863
house-19797,Urban,2010,103680.73069320196
house-24493,Suburb,1968,135215.24671461445
house-29191,Rural,1994,153981.12932295486
house-34989,Suburb,2004,238865.94316134776
house-23756,Suburb,1973,267993.7386531078
house-20908,Urban,2011,315532.6205425896
house-44954,Suburb,1963,314864.1390896008
house-11897,Rural,1957,306289.9305177798
house-18696,Rural,1956,278251.5903984788
house-24643,Suburb,1984,251987.64160549187
house-17752,Urban,1981,253965.4436528941
house-6635,Suburb,1995,273606.61521719635
house-45161,Urban,1951,88954.28304663798
house-10573,Suburb,1993,327768.3645415746
house-10193,Suburb,1968,191030.3873850524
house-48628,Suburb,1970,236750.26548401863
house-3829,Urban,2021,272727.88393630413
house-47051,Rural,2009,319624.42923412763
house-121,Urban,1970,214741.228522745
house-40681,Rural,2011,132123.90510792992
house-34650,Rural,2001,317445.01829854
house-49866,Urban,1950,205686.11411536895
house-29285,Urban,1987,73134.41344975602
house-23766,Rural,2006,238522.88482657005
house-37092,Suburb,1996,35211.38445967577
house-46382,Suburb,2016,83804.91825923981
house-7274,Rural,2001,385277.4044603428
house-40596,Urban,1977,156710.83046467125
house-17603,Suburb,1955,141613.65528988518
house-3677,Rural,2021,157990.0476416538
house-36231,Urban,1967,316466.25923129055
house-23511,Rural,1963,218859.711998771
house-44572,Suburb,1979,134632.1420215642
house-34470,Suburb,2012,214668.35873965608
house-15471,Rural,1952,85106.61961903611
house-16299,Suburb,1966,143672.05066182805
house-49226,Rural,1978,107600.79344805848
house-17562,Rural,1971,125915.7781696142
house-1754,Urban,2000,212014.00768731025
house-2035,Rural,2015,311286.63603656203
house-11406,Suburb,2005,195947.5716401856
house-32944,Urban,1952,107251.3527178455
house-36269,Suburb,1969,141967.4225417554
house-35493,Suburb,1991,142642.5477201735
house-15393,Suburb,2015,61124.25231810272
house-16641,Urban,2004,268583.6042097253
house-14113,Rural,1995,263221.95040742
house-2881,Suburb,1963,325655.96836379654
house-3704,Suburb,1991,224127.1424254895
house-21401,Urban,1969,381478.2430120341
house-17612,Rural,1981,303335.0847736133
house-35701,Rural,2008,260216.2705067654
house-31984,Suburb,2012,224632.1315296073
house-45126,Urban,1962,267066.8876588263
house-41409,Suburb,2003,65360.74003019754
house-48353,Rural,1985,261922.1462152377
house-6116,Urban,1985,114988.47503671824
house-14049,Rural,1968,186459.42669212015
house-39924,Urban,1968,200886.70775188747
house-46398,Suburb,2015,311487.52965499694
house-6608,Suburb,2011,185491.1196488689
house-29926,Suburb,2008,204363.8772725801
house-24934,Suburb,1971,229767.10475909585
house-39743,Urban,1964,87761.7208493887
house-4598,Suburb,2016,185248.4301082095
house-7842,Rural,2014,328807.3896199537
house-29209,Urban,2015,163118.4656562403
house-28993,Suburb,1976,156780.8984724874
house-12318,Suburb,1952,290292.65508634114
house-4385,Urban,1963,180916.29144931736
house-41553,Rural,1985,260361.2883775924
house-15003,Urban,1970,155803.21194212788
house-13420,Urban,1958,254551.87742619845
house-6442,Suburb,1971,150962.62705938265
house-9740,Suburb,1952,181117.55955944935
house-27055,Suburb,2002,166052.50372069032
house-44715,Rural,2017,220153.85933692864
house-6103,Rural,1981,308899.25516294
house-41880,Urban,1953,206795.3474499943
house-28543,Suburb,1965,209201.4246515416
house-34206,Suburb,1952,163117.84302322
house-46391,Rural,1977,134995.4142776593
house-45933,Urban,1965,174733.05691130427
house-41115,Urban,2015,309702.6550562366
house-26476,Rural,1954,206029.5561116821
house-39860,Urban,1968,182554.22036841343
house-33371,Urban,1975,201973.67885620476
house-16777,Rural,1955,189103.7140793195
house-28440,Urban,1992,321102.2420829872
house-22400,Rural,1990,197276.83551627275
house-8015,Rural,1994,220602.12546737032
house-23876,Suburb,2010,270759.60901034845
house-48067,Suburb,1955,213959.2744861112
house-48850,Urban,1984,198648.6115573512
house-18711,Suburb,2011,235866.0279546396
house-49517,Suburb,2015,214952.6697568022
house-11493,Urban,1955,209634.6223756377
house-39628,Rural,1966,122882.98366334292
house-4944,Urban,1967,152740.18463911835
house-34460,Rural,1951,162056.4585568865
house-47471,Suburb,2009,116654.22836243451
house-7098,Suburb,2012,353516.14605887706
house-18291,Rural,1990,185820.57161014533
house-35171,Suburb,1970,219170.21177353227
house-10628,Rural,1990,213272.65962833748
house-42805,Suburb,1994,280092.34863170964
house-25306,Suburb,2000,252056.2666212177
house-5107,Urban,1961,211278.28700390508
house-14421,Suburb,2018,94560.8007289882
house-47455,Rural,2006,136427.61653540863
house-17527,Rural,1960,100611.13523565834
house-34659,Suburb,1951,238835.6998023041
house-24529,Urban,1987,160466.08820273026
house-38539,Suburb,2009,138506.87080614286
house-46565,Rural,2002,308145.20418206
house-40738,Urban,1979,142365.45213505405
house-19677,Rural,1951,282428.19754733134
house-30411,Urban,2017,264275.56619303976
house-5073,Suburb,2007,254601.94939852683
house-29839,Rural,2021,234466.0976240664
house-20313,Suburb,1993,330841.7732741538
house-17457,Urban,1958,263667.16481797025
house-45343,Rural,1999,118937.07188704092
house-47765,Rural,1994,104282.19688449244
house-4959,Suburb,2021,256300.7421903172
house-27324,Rural,2006,301535.8012904302
house-46057,Rural,1968,325126.5219687305
house-13294,Suburb,1980,61616.951126131054
house-20607,Urban,2005,237145.94067128972
house-39100,Urban,1993,210118.84632699657
house-47012,Urban,1985,215551.21644649445
house-29598,Rural,1974,308108.2975425248
house-47268,Rural,1971,170048.19407567836
house-30144,Suburb,2006,376158.476227943
house-26175,Suburb,2012,242448.5542829424
house-8050,Suburb,1951,121689.32775120366
house-16002,Rural,2007,235810.5036705068
house-2762,Suburb,2010,202334.9994269284
house-30041,Suburb,1966,172760.7548202294
house-30243,Urban,2015,168485.86288451147
house-12718,Suburb,2008,218712.5360276256
house-2863,Urban,1989,229994.57507553516
house-15143,Suburb,1960,167883.5263198358
house-21170,Suburb,1989,160985.57617639206
house-8269,Suburb,1950,183783.63002428663
house-14494,Urban,1995,278711.48011674866
house-31814,Suburb,1980,170272.5267476461
house-48433,Suburb,2018,294917.84613194223
house-46175,Suburb,1993,269435.43919413164
house-28676,Urban,1997,190777.3727701201
house-12171,Suburb,1957,260421.56365063132
house-29913,Suburb,2021,156070.35875370397
house-16419,Rural,1984,202270.11877194655
house-21612,Rural,1987,284161.7883948043
house-18629,Rural,1986,173474.0031638656
house-20944,Urban,1978,128850.92057727015
house-26188,Suburb,1971,191672.63069488335
house-43756,Suburb,1984,308541.96407070407
house-3614,Suburb,1976,96854.6059499044
house-47058,Suburb,2020,291128.2393873145
house-1939,Urban,1954,148553.81602660328
house-37751,Urban,1967,279685.08273834817
house-9804,Urban,1966,249487.8146905912
house-15240,Rural,2015,215512.199349301
house-32720,Urban,2000,27010.313508235457
house-35738,Rural,1958,232782.9163859525
house-25161,Rural,2009,92901.7112252132
house-40808,Suburb,1986,230158.92580681216
house-37087,Urban,2012,347968.56896128017
house-989,Rural,1960,167144.4373619491
house-3243,Urban,1962,175567.1543689769
house-32275,Rural,1980,163492.34213423036
house-38214,Rural,1971,287007.4600705079
house-34773,Suburb,1988,227155.44089251067
house-49542,Suburb,2016,255178.7116350877
house-28015,Rural,2011,108068.313173001
house-2316,Urban,1980,295067.6513498119
house-16677,Rural,2008,365765.5364972489
house-35614,Urban,2008,316149.50872330286
house-6252,Suburb,2013,302372.4018280501
house-38191,Suburb,2006,249032.54209974207
house-17792,Suburb,1990,222205.0416601288
house-36540,Rural,2002,227885.58408907897
house-42198,Rural,1953,147023.68816988467
house-6598,Suburb,1988,126764.18991629664
house-16588,Suburb,1977,180411.570735268
house-33125,Rural,1976,270603.6216504604
house-29243,Suburb,1970,202058.80055673825
house-14976,Suburb,1963,209164.5603080117
house-34623,Urban,1976,83512.05349981648
house-10779,Suburb,1990,220392.308940864
house-43202,Suburb,2011,392958.722478688
house-23157,Rural,2015,194936.97374200416
house-28127,Suburb,2012,17259.498364811952
house-18916,Suburb,2000,203847.7890151612
house-18197,Rural,2000,113214.09979337912
house-26354,Rural,2018,290742.74454050144
house-35483,Urban,1951,318595.2135435458
house-41583,Rural,1991,217058.13325150535
house-36682,Rural,1978,192138.35126438623
house-35445,Suburb,1978,152984.2582317575
house-2483,Urban,1980,294144.0972966283
house-19844,Suburb,2009,279369.72541800013
house-38993,Urban,1958,234465.4610969248
house-40556,Urban,1994,229493.61999054137
house-41314,Urban,2014,218815.60241151863
house-40352,Suburb,1951,169007.88900809948
house-8285,Rural,1960,166435.65872836334
house-16866,Rural,1998,277626.8931289792
house-10141,Urban,2017,124482.13202988452
house-30055,Suburb,1971,166485.72319614657
house-43383,Rural,1998,237875.3618972356
house-8758,Suburb,1992,133707.77522974147
house-36857,Rural,1957,140703.02564114373
house-23474,Suburb,1986,190536.8651297767
house-49727,Rural,1957,128581.27989734474
house-9546,Suburb,1987,208073.3751914695
house-38352,Rural,1968,237355.31163158503
house-4813,Suburb,1955,233905.7740416613
house-30853,Urban,2000,259273.12160943207
house-47642,Suburb,1959,158287.3112009881
house-34615,Suburb,1985,189966.8547271509
house-24483,Urban,1971,224203.10054468332
house-49693,Suburb,2006,251213.22303565123
house-7112,Urban,1954,214088.57482755036
house-6561,Urban,1956,256225.5811043096
house-16097,Suburb,2013,179284.5564605184
house-35397,Suburb,1971,229213.7461718792
house-27510,Rural,1997,326089.7761800648
house-15313,Rural,1956,170313.8202188223
house-39888,Urban,2005,304739.6257088839
house-9185,Urban,1998,232734.64067730287
house-44761,Suburb,1962,154951.9857367722
house-6347,Rural,2017,235489.3410491611
house-8319,Urban,1990,232813.4304881983
house-24766,Urban,1974,130116.15961703224
house-15341,Suburb,1987,116901.49400884376
house-22677,Suburb,2005,257873.4960239688
house-14692,Rural,2009,194134.9381852094
house-28133,Rural,1980,218094.72795823577
house-9537,Suburb,1951,152784.16477145112
house-19400,Urban,1968,20504.01339837491
house-7470,Urban,1995,156902.23498867138
house-5338,Rural,1951,206891.71882354276
house-41047,Urban,1985,207023.6520803872
house-37,Rural,1982,228683.2269961876
house-24488,Rural,1997,211952.5423833156
house-24551,Suburb,2006,378828.2014258501
house-12248,Rural,1952,254092.82804854464
house-7612,Suburb,1954,379199.7407634277
house-41826,Urban,1996,232211.35878377117
house-20928,Suburb,1977,95189.10720824036
house-38507,Rural,1959,291158.5003679002
house-7521,Suburb,1985,360911.48696486594
house-25586,Rural,2005,214235.3682216386
house-19130,Urban,1956,191211.88709357308
house-26905,Suburb,1950,348305.5084762981
house-29668,Suburb,1979,119190.28314449749
house-1491,Rural,1996,295173.21466070786
house-42123,Rural,1970,321406.1603697603
house-4942,Urban,2017,267047.58636476327
house-34884,Rural,1962,170701.18189668932
house-187,Rural,1958,208692.1497994106
house-16819,Rural,2017,282675.8936139342
house-15167,Suburb,1991,206717.2448172044
house-9254,Urban,2010,282113.4040966378
house-8244,Suburb,1977,288720.36351830326
house-22984,Suburb,1970,281850.4238023962
house-14766,Rural,1969,219599.57812559235
house-26616,Urban,2009,232070.9163388065
house-23237,Suburb,1987,287713.4330628798
house-4508,Urban,1984,156944.05198426166
house-4360,Suburb,2001,308820.2538690216
house-37366,Urban,1995,218072.12688318564
house-26577,Suburb,2001,262864.4630568276
house-7483,Rural,1973,263534.7668683019
house-19863,Suburb,1991,339007.6077182285
house-25442,Urban,1996,305130.6341924438
house-4211,Rural,1974,68571.64038865441
house-34336,Urban,1974,210736.03161756237
house-46765,Urban,1964,281991.6318396594
house-43964,Urban,2007,18611.4009625678
house-20410,Rural,1952,198277.81189581423
house-39720,Rural,1967,233214.28311107756
house-15805,Suburb,2002,249741.42872869465
house-23072,Rural,1962,256990.91268939097
house-7447,Rural,2001,203600.66857443727
house-16574,Rural,1965,280099.6092555312
house-45615,Rural,1978,260457.4494373781
house-39595,Rural,1987,255614.19179988184
house-15868,Rural,2004,285447.98145852407
house-41563,Rural,2011,209246.47434191464
house-18045,Urban,1999,210096.74978841527
house-29306,Rural,1984,298365.29124637245
house-47984,Urban,1972,345649.21666897985
house-27767,Urban,1962,170550.96386696908
house-43934,Rural,1967,160845.9820011063
house-10021,Urban,1977,275140.6054521342
house-30913,Suburb,1980,427219.2398297903
house-4430,Urban,1983,128850.92935584602
house-46245,Suburb,1964,143246.55117672787
house-15519,Urban,1961,98084.56482871812
house-15930,Suburb,2021,163717.88038613234
house-24734,Urban,2012,249034.2619775853
house-4273,Urban,1960,275974.4386507715
house-29673,Rural,2006,184931.2759505433
house-18655,Suburb,1998,256081.92615441093
house-30775,Suburb,1991,119804.43113069044
house-2520,Rural,1959,318411.972406166
house-36657,Rural,1999,156227.42467351854
house-380,Suburb,1991,162732.68100454088
house-15090,Suburb,1958,210807.5098963968
house-16232,Rural,1992,351506.4750517589
house-212,Urban,2013,177796.40298151918
house-33112,Urban,1971,249321.67404070977
house-39101,Urban,1975,263184.87373168266
house-28849,Rural,2021,158641.79254132803
house-35385,Urban,1977,158774.2270752903
house-32156,Suburb,1972,354581.4012633958
house-4233,Rural,1978,371859.36420643306
house-16426,Rural,1998,158820.046846287
house-26943,Suburb,1967,244172.7691548456
house-11823,Rural,1997,210727.92610096527
house-40899,Suburb,1964,271553.8360174603
house-37633,Rural,2002,239002.29735715725
house-35440,Suburb,1954,363818.0683318329
house-19557,Urban,1954,263675.04196528654
house-228,Rural,1985,265399.2764300769
house-27901,Suburb,1975,290227.10288845736
house-30647,Urban,2007,274503.3693820653
house-13205,Suburb,1977,240294.6131329813
house-31758,Rural,2013,163184.85523546758
house-7228,Rural,1955,226822.6536954688
house-48824,Rural,2013,254237.6690759157
house-7291,Suburb,1982,288923.38127913006
house-45849,Rural,2019,267711.16907955625
house-4718,Urban,1992,289370.0393040708
house-31858,Urban,1995,233137.13592999396
house-9448,Urban,1993,184797.64384514416
house-6921,Rural,1990,197505.75077052112
house-35938,Suburb,2013,140208.71007819512
house-31826,Rural,1970,139854.22139213982
house-40934,Suburb,1973,207700.8278305264
house-27240,Urban,1965,189169.9616343552
house-22196,Rural,1955,325462.21707809885
house-11212,Rural,1969,349194.11055284773
house-27587,Urban,2020,90678.8138646726
house-29094,Urban,1961,102944.69099599763
house-38004,Suburb,2010,263524.2209787013
house-28350,Suburb,2001,224619.14848497356
house-49567,Urban,1963,226791.34345703796
house-31157,Rural,1962,111586.78927833129
house-45285,Suburb,2017,149911.1190011201
house-26823,Suburb,1988,296360.303117792
house-47731,Rural,2020,81736.97198210323
house-23936,Rural,1968,199677.0220833306
house-47390,Urban,1979,259845.09795367
house-38303,Suburb,2005,270211.9811652063
house-8879,Urban,1990,217366.7360623335
house-18610,Urban,1956,339634.1063874388
house-14571,Suburb,1964,330062.1498095427
house-32587,Urban,2018,214619.59165884857
house-8755,Suburb,1974,196992.3029794249
house-8080,Rural,1983,209158.6256775918
house-16888,Urban,1996,178127.94498028373
house-39944,Suburb,2020,143640.038845536
house-15793,Rural,2016,150429.98871044966
house-34216,Rural,1953,304983.17995445407
house-43828,Urban,1986,221589.8973440012
house-7773,Urban,1977,270229.14757098653
house-13188,Urban,1973,311154.3389695343
house-8284,Urban,2013,336172.9679964225
house-6811,Suburb,1960,240400.893067128
house-25728,Rural,1991,336054.84335837385
house-42454,Suburb,2002,157602.39410371095
house-30575,Rural,1997,313391.7198434466
house-15964,Suburb,1974,230633.3553019355
house-15620,Urban,2011,114754.67353849036
house-36474,Urban,1971,252103.96747262435
house-19663,Urban,1960,277756.0948306445
house-44002,Suburb,1989,67961.86360050231
house-6378,Rural,1967,215851.1179944545
house-10207,Rural,1984,105394.84193497516
house-13703,Suburb,1955,77090.75415986523
house-22997,Rural,1988,327829.3166829741
house-10545,Suburb,1973,123560.2000602507
house-9209,Rural,1993,243683.9823061145
house-2692,Suburb,2021,234743.71781308984
house-447,Rural,1998,182649.2382746536
house-2568,Rural,1951,234896.2660481647
house-12091,Rural,1977,224169.54854099036
house-22720,Urban,1990,288736.8636327646
house-39278,Suburb,1995,96579.5990651235
house-48887,Suburb,2018,277728.55456551234
house-10386,Urban,1988,335431.92998427805
house-46579,Suburb,1990,201667.5582816408
house-49889,Suburb,1959,278645.9395690642
house-40874,Rural,1970,218140.35387030905
house-34440,Suburb,1983,338335.05934464745
house-29479,Urban,1987,241086.7242644628
house-31104,Urban,1978,249584.695130854
house-24885,Suburb,1985,108192.9610996555
house-11162,Suburb,2000,197174.35502127657
house-23968,Urban,2003,139399.2303711949
house-6228,Suburb,1981,251244.7991329053
house-36778,Rural,2014,252778.3151659785
house-33563,Urban,2012,256940.2819517455
house-45108,Suburb,1987,331163.6411319014
house-12782,Rural,1971,333049.1134084593
house-22583,Suburb,1964,261391.72430503205
house-3208,Urban,1963,260583.8227368485
house-8143,Suburb,1987,361266.4476295966
house-47946,Suburb,2013,239989.51037379453
house-28056,Suburb,1993,150614.07171646028
house-19707,Rural,2001,180297.3342148999
house-48257,Suburb,2021,244052.50417625936
house-1512,Urban,1993,192510.57536538903
house-9252,Rural,2013,208392.6199955789
house-7649,Suburb,1975,322540.5502837622
house-7054,Rural,1978,74634.21386331253
house-3286,Rural,1961,456959.8043667304
house-4772,Urban,2019,271642.35953597614
house-39983,Suburb,2003,311144.71583526593
house-13904,Rural,1989,281862.91897931683
house-31421,Urban,1985,269810.4949565809
house-34099,Urban,2010,262401.200032286
house-44739,Urban,1974,199009.7558950525
house-18091,Urban,2015,292710.02569633874
house-43079,Urban,1976,153960.9489773787
house-45664,Rural,1950,350208.09708371165
house-17027,Rural,1965,317193.1062499316
house-16800,Rural,1987,158475.45467913794
house-16853,Rural,2020,236548.71704831
house-2827,Suburb,1991,272859.13348706014
house-2904,Suburb,1964,262498.1944187788
house-36700,Rural,1977,220474.4979146719
house-35347,Suburb,1972,187355.38190279892
house-44713,Rural,2008,312936.62911892025
house-14859,Rural,1967,192278.9022269149
house-19423,Suburb,1961,151513.1131233223
house-9766,Urban,1950,173082.13568181294
house-30214,Suburb,1965,104038.64979219582
house-28877,Suburb,1967,200795.13357460403
house-36718,Suburb,2001,346800.8327101277
house-30024,Suburb,1986,116079.89172095298
house-3330,Suburb,1960,132471.5838120252
house-40764,Rural,1950,176984.82265538358
house-18294,Urban,1984,185612.24523083417
house-38066,Urban,1954,264515.14755965414
house-1753,Urban,1960,196895.68687157915
house-4127,Suburb,1978,229142.59813519125
house-42797,Urban,1992,290063.480506829
house-9570,Rural,1956,191249.4761516064
house-20198,Rural,1964,302343.4841228598
house-1001,Rural,2001,270128.29476942227
house-34851,Urban,2017,340408.2072737537
house-37922,Urban,1988,306457.2530258077
house-9308,Suburb,2009,155159.83209594182
house-41544,Urban,2003,210843.00123293893
house-21699,Urban,1978,188126.1065449396
house-39840,Rural,1985,162906.98714841536
house-46425,Suburb,2004,60641.83337986708
house-33353,Rural,2002,286607.41044694226
house-19340,Rural,1957,130722.62282189589
house-42037,Rural,2012,268533.5707447276
house-34520,Urban,2007,247183.14775788545
house-42199,Rural,1990,199462.7568792308
house-34918,Rural,2004,356987.4263767041
house-8902,Urban,1974,100208.05175684688
house-23489,Suburb,1975,220038.23631939435
house-28867,Rural,1954,308884.124577212
house-27118,Urban,2001,207469.94103543743
house-11577,Rural,1958,299562.6906994783
house-1320,Rural,1976,129691.6450462774
house-4373,Rural,1990,311970.9077317749
house-40407,Rural,2006,153060.65371662064
house-4080,Suburb,1957,257274.44572974544
house-20033,Rural,2004,205689.81024187768
house-8272,Rural,1976,236295.5479131773
house-19926,Urban,1990,153931.18706477602
house-2197,Rural,1994,256814.67096191423
house-5889,Urban,1988,123415.32041917316
house-14916,Urban,1955,235987.1362454492
house-29355,Urban,2015,129389.13779640404
house-2686,Urban,1998,296891.4356187014
house-49290,Suburb,1961,215465.2684354653
house-15624,Suburb,1952,309065.4334641841
house-21245,Urban,1978,159951.38205765295
house-32188,Urban,1958,169852.01622195443
house-33541,Urban,1965,94100.7524308005
house-46697,Urban,2017,271124.09328499495
house-39275,Urban,1955,354103.4570718945
house-45282,Urban,1969,264126.21848040674
house-48904,Urban,1979,197452.46977921395
house-26302,Rural,1959,253889.62990342785
house-43289,Urban,1996,288540.7458496432
house-29055,Rural,1956,146639.16065589618
house-14390,Urban,2008,232839.7237952251
house-23688,Rural,1967,211957.7139124177
house-28225,Urban,2009,209003.26806662977
house-13015,Urban,1972,240738.0236284319
house-34755,Suburb,2003,265964.7829286919
house-11224,Rural,1985,298060.9504540284
house-12797,Suburb,1981,235624.52304596404
house-25904,Urban,1957,187788.76577637764
house-25081,Suburb,2007,134209.34480061557
house-4267,Rural,1980,240166.39123297395
house-14931,Rural,2010,275821.289515244
house-13059,Suburb,1981,227062.9351698208
house-1681,Urban,1993,313158.94427471666
house-4634,Suburb,2016,76391.60246558071
house-7909,Rural,1953,301997.1637686322
house-21033,Suburb,1954,241182.79317727248
house-17642,Suburb,2015,240041.62727926407
house-16585,Suburb,1967,267347.33402939374
house-19008,Suburb,1959,192061.6156174623
house-45428,Suburb,1980,252493.6580813517
house-6190,Rural,1987,301820.20295420184
house-33300,Rural,2020,161558.19653421515
house-6355,Urban,1994,201288.38042088263
house-36199,Suburb,1973,303139.17015262245
house-40801,Rural,1975,183783.36067007924
house-45613,Rural,1960,37107.80959469125
house-12342,Rural,1986,230224.64410953515
house-7208,Suburb,1987,263873.3564941597
house-41377,Rural,1977,230835.2164898284
house-8521,Rural,1981,142559.38793101904
house-24190,Rural,2017,261916.3043287249
house-48080,Suburb,1994,282182.10321316624
house-22991,Urban,1967,283866.9612194323
house-7318,Urban,1958,268527.0343720601
house-8995,Urban,1981,236762.0684249769
house-11085,Suburb,1958,309282.9975291989
house-25822,Suburb,1991,201829.0992083839
house-3910,Rural,1975,281596.9707614403
house-8041,Suburb,1965,205368.88819657447
house-47141,Suburb,2013,310481.86144984525
house-10922,Rural,1984,162375.2036922597
house-23137,Suburb,1965,199656.9399738508
house-35136,Rural,1992,334677.59616554744
house-33908,Urban,1971,261593.11838497384
house-6724,Urban,1972,198516.61916282956
house-14778,Rural,1969,293300.4197444984
house-22768,Urban,1978,349863.60252248443
house-25088,Rural,1955,217902.9960487791
house-20216,Suburb,2005,133161.59126440185
house-9697,Rural,1970,271846.1644133742
house-25409,Urban,2013,113983.5332326607
house-42971,Rural,1961,261125.42740847272
house-34674,Rural,2019,322731.2187385364
house-25254,Urban,2004,212673.8878691767
house-43278,Rural,1999,112005.01240912268
house-28442,Rural,1987,171404.82304359972
house-25585,Rural,1974,112401.53295781648
house-43479,Rural,2009,240189.55658745705
house-37204,Rural,1994,138245.3536096096
house-45990,Rural,2004,205995.56680844355
house-2685,Suburb,1997,307337.2970214617
house-14706,Urban,1971,217660.46391532032
house-34723,Urban,2005,176833.27974829992
house-32902,Suburb,1984,301251.83947736764
house-2474,Rural,2008,291236.89069440623
house-22935,Suburb,1977,223919.0572188093
house-12486,Urban,1955,196626.4510954857
house-39524,Urban,2014,304753.664929043
house-43314,Urban,1955,211503.9965270513
