pollution_2023,pollution_growth_Rate,country_name,ccn3,country_region,united_nation_Member,country_land_Area_in_Km,pollution_density_in_km,pollution_density_per_Mile,share_borders,pollution_Rank,mostPollutedCountries_particlePollution
35163944,0.01549,Uzbekistan,860,Asia,True,440650.0,79.8002,206.6824,"AFG, KAZ, KGZ, TJK, TKM",43,41.2
34352719,0.0089,Peru,604,South America,True,1280000.0,26.8381,69.5106,"BOL, BRA, CHL, COL, ECU",45,23.38
34308525,0.01091,Malaysia,458,Asia,True,328550.0,104.4241,270.4583,"BRN, IDN, THA",46,19.36
34121985,0.0193,Ghana,288,Africa,True,227533.0,149.965,388.4093,"BFA, CIV, TGO",47,30.3
30896590,0.01143,Nepal,524,Asia,True,143350.0,215.5325,558.2293,"CHN, IND",49,44.46
26439111,0.01,Australia,36,Oceania,True,7692020.0,3.4372,8.9024,,55,8.0
23923276,0.00125,Taiwan,158,Asia,False,36197.0,660.9188,1711.7796,,57,17.16
23227014,0.0498,Syria,760,Asia,True,183630.0,126.4881,327.6042,"IRQ, ISR, JOR, LBN, TUR",60,32.2
21893579,0.00281,Sri Lanka,144,Asia,True,61860.0,353.9214,916.6565,IND,61,25.2
19892812,0.01188,Romania,642,Europe,True,230080.0,86.4604,223.9325,"BGR, HUN, MDA, SRB, UKR",64,18.32
19629590,0.00132,Chile,152,South America,True,743532.0,26.4005,68.3772,"ARG, BOL, PER",65,22.63
19606633,0.01076,Kazakhstan,398,Asia,True,2699700.0,7.2625,18.8099,"CHN, KGZ, RUS, TKM, UZB",66,23.6
